"PAULO FRANCISCO BARBOSA";"PMDB";"251";"1.3";"AMPARO";"1982"
"RUBENS CELSO ROSASCO";"PDS";"183";"0.94";"AMPARO";"1982"
"EDMUNDO KIRMAYR";"PDS";"102";"0.53";"AMPARO";"1982"
"CARLOS PIFFER";"PDS";"7117";"36.72";"AMPARO";"1982"
"JOSE CARLOS DE OLIVEIRA";"PMDB";"6334";"32.68";"AMPARO";"1982"
"LAZARO JOSE DOMINGUES";"PTB";"2009";"10.37";"AMPARO";"1982"
"JOSE ANTONIO ROSSI";"PMDB";"1586";"8.18";"AMPARO";"1982"
"PAULO FRANCISCO BARBOSA";"PMDB";"251";"1.3";"AMPARO";"1982"
"RUBENS CELSO ROSASCO";"PDS";"183";"0.94";"AMPARO";"1982"
"EDMUNDO KIRMAYR";"PDS";"102";"0.53";"AMPARO";"1982"
"ANTONIA SODELLI GRABER";"PDS";"546";"46.27";"ANALANDIA";"1982"
"JOAO SEBASTIAO BERTOLETTI";"PDS";"429";"36.36";"ANALANDIA";"1982"
"JOSE ANGELO DE MATTOS";"PMDB";"90";"7.63";"ANALANDIA";"1982"
"IRINEU CAMARGO";"PMDB";"61";"5.17";"ANALANDIA";"1982"
"ANTONIA SODELLI GRABER";"PDS";"546";"46.27";"ANALANDIA";"1982"
"JOAO SEBASTIAO BERTOLETTI";"PDS";"429";"36.36";"ANALANDIA";"1982"
"JOSE ANGELO DE MATTOS";"PMDB";"90";"7.63";"ANALANDIA";"1982"
"IRINEU CAMARGO";"PMDB";"61";"5.17";"ANALANDIA";"1982"
"JOAO CARLOS CARREIRA";"PMDB";"9133";"39.46";"ANDRADINA";"1982"
"ROBERTO MIGUEL CURY";"PDS";"4080";"17.63";"ANDRADINA";"1982"
"PEDRO AYRES DE SOUZA";"PMDB";"2716";"11.73";"ANDRADINA";"1982"
"ANTONIO FRANCISCO FONZAR";"PDS";"1909";"8.25";"ANDRADINA";"1982"
"OSMAR SILVEIRA";"PDS";"1040";"4.49";"ANDRADINA";"1982"
"YNACIO AKIRA HIRATA";"PTB";"783";"3.38";"ANDRADINA";"1982"
"OSVALDO GASPARELLI";"PTB";"648";"2.8";"ANDRADINA";"1982"
